Title,Description,Link,Date
Monash IVF disaster shows board’s market insensitivity,Giving a client the wrong embryo and not realising until well after the child is born seems like it should be a big deal to the board.,https://www.afr.com/rear-window/monash-ivf-disaster-shows-board-s-market-insensitivity-20250414-p5lrkb,"Apr 15, 2025"
Anchorage Capital Partners meets with lenders at laundries business,Deutsche Bank helped Anchorage Capital bankroll its purchase of South Pacific Laundries in 2018.,https://www.afr.com/street-talk/anchorage-capital-partners-meets-with-lenders-at-laundries-business-20250410-p5lqt3,"Apr 15, 2025"
The surprising winners from Trump’s trade war? Almond farmers,"Steep Chinese imposts have locked out California, which supplies the vast majority of the tree nut to the world, creating a big opportunity for local growers.",https://www.afr.com/companies/agriculture/the-surprising-winners-from-trump-s-trade-war-almond-farmers-20250411-p5lr1o,"Apr 14, 2025"
Some hybrid cars thirstier than their petrol peers,Tests on Australian roads show some hybrid models use more fuel than standard vehicles.,https://www.afr.com/companies/transport/some-hybrid-cars-thirstier-than-their-petrol-peers-20250414-p5lrpg,"Apr 14, 2025"
ASIC hunts gold mining executives over Russia scandal,A Russian investor was issued millions of dollars of shares in an Australian gold miner without paying for them. Now ASIC is pursuing the executives responsible.,https://www.afr.com/companies/mining/asic-hunts-gold-mining-executives-over-russia-scandal-20250414-p5lrmw,"Apr 14, 2025"
Measles outbreak linked to Tim Gurner’s anti-ageing spa,The property developer’s Saint Haven is an ‘active public exposure site’ of a measles case.,https://www.afr.com/rear-window/measles-outbreak-linked-to-tim-gurner-s-luxury-spa-20250414-p5lrl5,"Apr 14, 2025"
"Hockey remains Australia’s Trump-whisperer – only now, he’s charging",Business is going well for advisers with links to a White House where Donald Trump is intent on liberating America from the global trading system and its allies.,https://www.afr.com/companies/professional-services/hockey-remains-australia-s-trump-whisperer-only-now-he-s-charging-20250401-p5lo7d,"Apr 4, 2025"
The secret Ferrari fire sale while dozens are out of pocket,James Zhang lived large. Is he now about to sail off into the sunset?,https://www.afr.com/rear-window/the-secret-ferrari-fire-sale-while-dozens-are-out-of-pocket-20250401-p5lo6e,"Apr 3, 2025"
Inside Clive Palmer’s one-man war on ASIC,"Clive Palmer and Donald Trump both believe they’ve been the targets of unfair lawsuits by regulators, and both aim to get even.",https://www.afr.com/companies/financial-services/inside-clive-palmer-s-one-man-war-on-asic-20250318-p5lkiz,"Mar 30, 2025"
Five V appoints Goldman Sachs to run $500m-plus Automic sale,The share registry services company is expected to fetch $500 million-plus at auction.,https://www.afr.com/street-talk/five-v-appoints-goldman-sachs-to-run-500m-plus-automic-sale-20250414-p5lrp2,"Apr 14, 2025"
China’s economy – not tariffs – are the big risk to Australia,"Despite the trade war, the iron ore price has barely blinked. But big global investors doubt that’s sustainable, and that means a big hit on our miners.",https://www.afr.com/chanticleer/china-s-economy-not-tariffs-are-the-big-risk-to-australia-20250412-p5lra8,"Apr 14, 2025"
Bellevue Gold flags takeover talk after bad hedges force $156m raise,The struggling West Australian gold miner has been forced into a dilutive fundraising to close out lowball forward hedging contracts.,https://www.afr.com/companies/mining/bellevue-gold-flags-takeover-talk-after-bad-hedges-force-156m-raise-20250414-p5lrm1,"Apr 14, 2025"
$10k and rife with cheating: Judge blasts mandatory lawyers’ course,A survey commissioned by NSW Chief Justice Andrew Bell has revealed deep dissatisfaction about the compulsory legal training regime.,https://www.afr.com/companies/professional-services/10k-and-rife-with-cheating-judge-blasts-mandatory-lawyers-course-20250413-p5lrfr,"Apr 14, 2025"
China weaponises rare earths in tariff war,China’s dominance in processing rare earths metals and high-performance magnets means Beijing’s curbs on the crucial exports are a major threat to US manufacturing.,https://www.afr.com/companies/mining/china-weaponises-rare-earths-in-tariff-war-20250414-p5lrjz,"Apr 14, 2025"
How this $115b ASX giant plans to win from both sides of the trade war,"On the front line of the tit-for-tat tariff fight between the US and China, Australian companies are trying to find a way to play both sides.",https://www.afr.com/chanticleer/how-this-115b-asx-giant-plans-to-win-from-both-sides-of-the-trade-war-20250414-p5lrm6,"Apr 14, 2025"
Shipping giants face surging demand before tariffs hit global freight,Executives at big maritime transport businesses and ports warn consumers could get hit with higher prices as importers scramble “to get cargo in under the wire”.,https://www.afr.com/companies/transport/shipping-giants-face-surging-demand-before-tariffs-hit-global-freight-20250411-p5lr1r,"Apr 14, 2025"
BoQ’s war with branch owners escalates over buyback price,"Aggrieved franchisees are demanding at least double what was paid by the Brisbane-based lender for their stores, setting the scene for a showdown. ",https://www.afr.com/companies/financial-services/boq-s-war-with-branch-owners-escalates-over-buyback-price-20250414-p5lrij,"Apr 14, 2025"
Barrenjoey prints $300m line in Sigma Healthcare,About 100 million shares in Sigma Healthcare changed hands ahead of the market open on Monday.,https://www.afr.com/street-talk/barrenjoey-prints-300m-line-in-sigma-healthcare-20250414-p5lrlt,"Apr 14, 2025"
"Portelli hits fast lane on mooted LMCT+ sale, MacCap takes the wheel",Several conversations around how a change of control could play out and the steps needed to make LMCT+ sale-ready had taken place since the end of last year. ,https://www.afr.com/street-talk/portelli-hits-fast-lane-on-mooted-lmct-sale-maccap-takes-the-wheel-20250413-p5lrco,"Apr 14, 2025"
‘Could be next Cochlear or ResMed’: heart device maker wins FDA approval,"EBR Systems, backed by investors such as HESTA, Hostplus and private equity veteran Mark Carnegie, can start selling its technology within months.",https://www.afr.com/companies/healthcare-and-fitness/hesta-hostplus-backed-heart-device-maker-ebr-wins-us-fda-approval-20250414-p5lrgv,"Apr 14, 2025"
The boy from Holywood finally gets his Hollywood ending,"Rory McIlroy did not simply have to win the Masters, the one prize he had coveted above all else. He had to win it three times over, suppressing the voices inside his head.",https://www.afr.com/companies/sport/mcilroy-reaches-masters-turn-with-four-shot-lead-20250414-p5lrhe,"Apr 14, 2025"
Clayton Larcombe respawns as a Middle East AI investor,The former Sydney funds manager landed on the cover of CEO Middle East magazine to launch his new career.,https://www.afr.com/rear-window/clayton-larcombe-respawns-as-a-middle-east-ai-investor-20250410-p5lqtz,"Apr 14, 2025"
Northern Star set to seal $6b De Grey buyout in mega gold deal,"The price tag is the highest ever for an undeveloped Australian project, and the buyer hopes to take control of the promising Hemi development.",https://www.afr.com/companies/mining/northern-star-set-to-seal-5b-de-grey-buyout-in-mega-gold-deal-20250414-p5lrhs,"Apr 14, 2025"
"Botanix Pharmaceuticals taps investors for $40m; Euroz, E&P in tow",The ASX-listed company had Euroz Hartleys and E&P Capital offering shares at 33¢ each.,https://www.afr.com/street-talk/botanix-pharmaceuticals-taps-investors-for-40m-euroz-e-and-p-in-tow-20250414-p5lrjr,"Apr 14, 2025"
From spreadsheets to strategy: how AI rewrites the rules of treasury,The latest advances in artificial intelligence and machine learning are helping solve the complex challenges corporate treasurers face.,https://www.afr.com/companies/financial-services/from-spreadsheets-to-strategy-how-ai-rewrites-the-rules-of-treasury-20250409-p5lqip,
Inside the fortune Kerry Stokes (quietly) made in China,The businessman is best known for his investments in television and newspapers. But a decades-long approach to backing the Asian powerhouse is paying dividends.,https://www.afr.com/companies/media-and-marketing/why-kerry-stokes-stays-put-on-china-amid-trump-trade-turmoil-20250410-p5lqu4,"Apr 14, 2025"
Five V issues RFP for share registry provider Automic,"Australia’s investment banking top tier – Barrenjoey, UBS, Macquarie, Goldman Sachs and Jarden – have all pitched for a role.",https://www.afr.com/street-talk/five-v-issues-rfp-for-share-registry-provider-automic-20250413-p5lrf0,"Apr 14, 2025"
BlueScope finds $180 million repair bill for Whyalla steelworks,"While parties have begun circling the plant, run by businessman Sanjeev Gupta until February, administrators have been warned upgrades are urgently needed.",https://www.afr.com/companies/manufacturing/bluescope-finds-180-million-repair-bill-for-whyalla-steelworks-20250411-p5lqz3,"Apr 14, 2025"
Deloitte partners gripe over pay unit rumours,Even the Cairns sunshine wasn’t enough to stop a litany of complaints from partners.,https://www.afr.com/rear-window/deloitte-partners-gripe-over-pay-unit-rumours-20250410-p5lquk,"Apr 14, 2025"
